Step:221         avg_loss:447.3867798    counting:763.9997206    predict:4443.4067383
Step:222         avg_loss:705.6071167    counting:274.0000066    predict:4774.7231445
Step:223         avg_loss:628.3754883    counting:246.0000703    predict:5108.5175781
Step:224         avg_loss:475.0343018    counting:475.9999399    predict:4492.6401367
Step:225         avg_loss:418.8893738    counting:931.9997178    predict:4515.3041992
Step:226         avg_loss:235.1488037    counting:111.0000102    predict:1993.7529297
Step:227         avg_loss:161.8017578    counting:182.9999990    predict:1529.9909668
Step:228         avg_loss:216.7536621    counting:1320.9999731   predict:2298.2912598
Step:229         avg_loss:195.2279663    counting:336.0000091    predict:2067.7900391
Step:230         avg_loss:604.1954346    counting:443.0000263    predict:5495.8007812
Step:231         avg_loss:107.5268097    counting:37.9999995     predict:885.3084717
Step:232         avg_loss:696.6913452    counting:312.0000014    predict:5992.9755859
Step:233         avg_loss:729.0780029    counting:461.9999578    predict:5958.0458984
Step:234         avg_loss:612.4703369    counting:190.0000242    predict:5238.6176758
Step:235         avg_loss:616.0719604    counting:740.9998209    predict:5807.4448242
Step:236         avg_loss:270.3575439    counting:984.9999461    predict:2234.1845703
Step:237         avg_loss:227.9377136    counting:301.0000095    predict:2449.0136719
Step:238         avg_loss:186.2024536    counting:89.0000090     predict:1494.5865479
Step:239         avg_loss:44.8870087     counting:243.0000042    predict:650.5444946
Step:240         avg_loss:665.1770020    counting:104.0000180    predict:5527.3969727
Step:241         avg_loss:367.4725037    counting:1534.9996901   predict:4822.4423828
Step:242         avg_loss:566.0355225    counting:122.9999961    predict:5022.3784180
Step:243         avg_loss:141.6597290    counting:199.9999923    predict:1514.3739014
Step:244         avg_loss:636.9886475    counting:485.9998994    predict:6098.6611328
Step:245         avg_loss:35.8926697     counting:373.0000190    predict:759.0735474
Step:246         avg_loss:457.9805298    counting:587.9998028    predict:4909.0317383
Step:247         avg_loss:477.1429138    counting:400.0000001    predict:4843.7807617
Step:248         avg_loss:226.4221802    counting:364.9999682    predict:2485.4284668
Step:249         avg_loss:470.7764282    counting:471.9999374    predict:4754.2485352
Step:250         avg_loss:309.0193481    counting:1204.9998147   predict:4579.5761719
Step:251         avg_loss:136.3588562    counting:254.9999853    predict:1618.8754883
Step:252         avg_loss:447.7666016    counting:974.9998823    predict:4661.7534180
Step:253         avg_loss:422.5246277    counting:580.9998942    predict:4657.4912109
Step:254         avg_loss:309.9521179    counting:404.9999320    predict:3447.0791016
Step:255         avg_loss:393.2765503    counting:38.9999984     predict:3797.5908203
Step:256         avg_loss:515.1229248    counting:273.9999803    predict:5033.7407227
Step:257         avg_loss:457.7562256    counting:819.9998226    predict:4954.4038086
Step:258         avg_loss:84.8800812     counting:159.0000089    predict:1097.1544189
Step:259         avg_loss:417.3578186    counting:561.9999672    predict:4371.7949219
Step:260         avg_loss:89.0865402     counting:129.0000066    predict:1081.8289795
Step:261         avg_loss:457.5004883    counting:2196.9997800   predict:3777.6828613
Step:262         avg_loss:131.3470764    counting:657.9998933    predict:1933.4108887
Step:263         avg_loss:343.1578674    counting:109.0000124    predict:3601.6599121
Step:264         avg_loss:90.4114075     counting:74.0000167     predict:1053.0363770
Step:265         avg_loss:124.3865051    counting:340.9999549    predict:1506.4824219
Step:266         avg_loss:318.6888733    counting:1161.9997612   predict:3275.5754395
Step:267         avg_loss:172.0674438    counting:3137.9999127   predict:3650.6345215
Step:268         avg_loss:181.4016418    counting:190.0000024    predict:1555.1435547
Step:269         avg_loss:44.2522392     counting:261.9999847    predict:791.8540039
Step:270         avg_loss:205.2689819    counting:271.0000015    predict:2052.9826660
Step:271         avg_loss:100.9657440    counting:49.0000030     predict:1063.4964600
Step:272         avg_loss:335.7514343    counting:362.9999969    predict:3674.9616699
Step:273         avg_loss:388.9423828    counting:106.0000008    predict:4116.6074219
Step:274         avg_loss:36.8245773     counting:140.9999976    predict:579.2700806
Step:275         avg_loss:420.1396790    counting:379.9999896    predict:4587.3159180
Step:276         avg_loss:344.2083435    counting:204.0000147    predict:3994.2558594
Step:277         avg_loss:183.1859131    counting:141.0000284    predict:2197.9272461
Step:278         avg_loss:53.6390419     counting:166.0000054    predict:823.7770386
Step:279         avg_loss:375.4226074    counting:248.0000548    predict:4413.5571289
Step:280         avg_loss:319.6836548    counting:143.0000135    predict:3805.6955566
Step:281         avg_loss:318.4136963    counting:453.9999210    predict:4361.4692383
Step:282         avg_loss:190.6526031    counting:1426.9997435   predict:3679.6257324
Step:283         avg_loss:420.4448242    counting:726.9998649    predict:4200.4780273
Step:284         avg_loss:303.3049316    counting:216.0000532    predict:3804.8334961
Step:285         avg_loss:173.7185669    counting:195.0000467    predict:2375.1413574
Step:286         avg_loss:377.2806396    counting:877.9999008    predict:3809.8896484
Step:287         avg_loss:320.8086853    counting:316.9999824    predict:4033.5173340
Step:288         avg_loss:264.5064087    counting:359.9999962    predict:3611.1794434
Step:289         avg_loss:302.2091675    counting:209.0000098    predict:3955.8461914
Step:290         avg_loss:274.4752502    counting:431.9999842    predict:3950.4431152
Step:291         avg_loss:187.3039246    counting:820.9996768    predict:3395.9521484
Step:292         avg_loss:229.4605713    counting:385.0000468    predict:3465.9628906
Step:293         avg_loss:141.7828827    counting:2006.9997587   predict:3425.1279297
Step:294         avg_loss:260.9002075    counting:686.9998841    predict:3402.3356934
Step:295         avg_loss:237.3383484    counting:500.9999694    predict:3410.6386719
Step:296         avg_loss:204.1948700    counting:618.9998611    predict:3385.9064941
Step:297         avg_loss:80.6084442     counting:1044.9999087   predict:693.6239624
Step:298         avg_loss:520.1082764    counting:2163.9999311   predict:3409.4521484
Step:299         avg_loss:264.0854797    counting:387.9999473    predict:3702.5690918
Step:300         avg_loss:266.8919678    counting:232.9999939    predict:3659.4396973
Step:301         avg_loss:261.9974365    counting:152.0000152    predict:3606.1416016
Step:302         avg_loss:275.1861572    counting:29.0000002     predict:3598.2507324
Step:303         avg_loss:248.4608154    counting:291.0000071    predict:3553.8391113
Step:304         avg_loss:247.1572418    counting:96.0000016     predict:3506.4260254
Step:305         avg_loss:245.2914429    counting:35.9999995     predict:3463.7595215
Step:306         avg_loss:247.1236877    counting:118.0000001    predict:3470.4892578
Step:307         avg_loss:231.3873749    counting:98.9999996     predict:3411.2717285
Step:308         avg_loss:222.2367096    counting:167.0000165    predict:3390.2900391
Step:309         avg_loss:218.0194244    counting:229.0000135    predict:3367.0449219
Step:310         avg_loss:214.8464813    counting:139.0000030    predict:3313.1726074
Step:311         avg_loss:212.1577911    counting:100.0000025    predict:3279.8662109
Step:312         avg_loss:208.8397217    counting:117.0000030    predict:3256.6694336
Step:313         avg_loss:209.1343994    counting:49.9999990     predict:3220.8759766
Step:314         avg_loss:188.5725861    counting:238.0000245    predict:3193.9382324
Step:315         avg_loss:204.1183929    counting:42.0000003     predict:3173.2868652
Step:316         avg_loss:199.4136200    counting:49.0000001     predict:3143.1262207
Step:317         avg_loss:194.7852325    counting:178.0000107    predict:3144.5847168
Step:318         avg_loss:192.8995056    counting:43.0000003     predict:3088.9897461
Step:319         avg_loss:186.2790985    counting:90.0000011     predict:3072.3530273
Step:320         avg_loss:179.3677673    counting:151.0000186    predict:3046.1718750
Step:321         avg_loss:182.7554932    counting:49.9999988     predict:3013.0446777
Step:322         avg_loss:183.9157410    counting:153.9999996    predict:2995.1345215
Step:323         avg_loss:174.2107849    counting:104.0000016    predict:2961.7917480
Step:324         avg_loss:173.5289459    counting:166.0000071    predict:2938.4890137
